概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 あいあいさー さんの売買予想。 目標株価： 769円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,スカパーJSATホールディングス,2017/03/24,16:42,買い予想,あいあいさーさん,-28.4,484.0,+1.76,769,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2017/03/24 04:34　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「769円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\1.html
スカパーＪＳＡＴホールディングス(9412)の売り予想。 mememenome さんの売買予想。 目標株価： 400円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 売り予想 中期 目標株価400円,スカパーJSATホールディングス,2017/02/02,13:39,売り予想,mememenomeさん,0.11,470.0,-11.49,400,短期(数分～数日),イベント(増資／合弁・買収／分割等),,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\10.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 ぽーのすけ さんの売買予想。 目標株価： 510円 そろそろ 新戦略が出そうかな,スカパーJSATホールディングス,2008/03/01,20:20,買い予想,ぽーのすけさん,203.81,305.0,+169.68,510,,,"今、やらなくちゃ、じり貧になるのは明白だから、
デジタルがらみで、新戦略を売ってきそう。
",488.0,04月10日,12:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\100.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 蒼井あおい さんの売買予想。 目標株価： 510円 反攻,スカパーJSATホールディングス,2008/02/27,22:50,買い予想,蒼井あおいさん,90.88,308.0,+165.26,510,,,"ｅ２の契約数が伸びるでしょう

契約数５００万で株価は１０万円",488.0,04月10日,12:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\101.html
スカパーＪＳＡＴホールディングス(9412)の売り予想。 dominia さんの売買予想。 目標株価： 510円 ブロードバンドが,スカパーJSATホールディングス,2007/08/19,23:23,売り予想,dominiaさん,112.43,480.0,-5.33,510,,,"整備された今となっては、衛星通信のメリットって･･･
あ、でもGPSとかって衛星通信だよね･･･
とりあえず様子見売り。",488.0,04月10日,12:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\102.html
スカパーＪＳＡＴホールディングス(9412)の売り予想。 orange0721 さんの売買予想。 目標株価： 510円 売り,スカパーJSATホールディングス,2007/07/04,12:01,売り予想,orange0721さん,-1.85,538.0,+25.89,510,,,・・・。,488.0,04月10日,12:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\103.html
スカパーＪＳＡＴホールディングス(9412)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 377円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「売り」に賛成,スカパーJSATホールディングス,2016/12/31,20:04,売り予想,エグゼクティブ・まっちさん,-14.13,532.0,+22.98,376,長期(数ヶ月～数年),チャート,,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\11.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 twitter88 さんの売買予想。 目標株価： 768円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価768円,スカパーJSATホールディングス,2016/12/21,18:06,買い予想,twitter88さん,-0.95,550.0,-32.57,768,長期(数ヶ月～数年),チャート,,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\12.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 460円 期間： 長期(数ヶ月～数年) 理由： その他 減価償却費負担が重し 買い直し,スカパーJSATホールディングス,2016/08/16,20:48,買い予想,37 　 工事中 !さん,57.65,450.0,+23.38,460,長期(数ヶ月～数年),その他,,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\13.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 arama- さんの売買予想。 目標株価： 700円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い時かも,スカパーJSATホールディングス,2016/07/21,10:02,買い予想,arama-さん,177.73,452.0,+22.01,700,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),ＣＳ放送『スカパー！』と衛星運営が柱,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\14.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 てらこ さんの売買予想。 目標株価： 668円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,スカパーJSATホールディングス,2016/05/31,21:14,買い予想,てらこさん,-22.49,531.0,-23.56,668,中期(数週間～数ヶ月),チャート,,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\15.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 アケアケ さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,スカパーJSATホールディングス,2016/05/17,14:04,買い予想,アケアケさん,-26.37,539.0,-27.43,600,中期(数週間～数ヶ月),チャート,,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\16.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 鬼丸 さんの売買予想。 目標株価： 644円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 上げですね。,スカパーJSATホールディングス,2016/05/08,16:53,買い予想,鬼丸さん,37.64,591.0,-50.03,643,中期(数週間～数ヶ月),個人投資家の予想,,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\17.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 hanamidai さんの売買予想。 目標株価： 644円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に賛成,スカパーJSATホールディングス,2016/04/28,18:27,買い予想,hanamidaiさん,104.07,565.0,-39.25,643,中期(数週間～数ヶ月),チャート,"【株価分析結果】2016/04/28 04:34
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「655円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
",488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\18.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 夢想人 さんの売買予想。 目標株価： 820円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成,スカパーJSATホールディングス,2016/04/23,22:11,買い予想,夢想人さん,37.1,631.0,-64.89,820,中期(数週間～数ヶ月),個人投資家の予想,"【株価分析結果】2016/04/23 04:38
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「674円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
",488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\19.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 でんぐりでんぐり さんの売買予想。 目標株価： 786円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,スカパーJSATホールディングス,2017/03/05,23:07,買い予想,でんぐりでんぐりさん,128.45,500.0,-7.39,786,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2017/03/04 04:33　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「786円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\2.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 ﾏﾀﾞﾑ さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買いでしょ,スカパーJSATホールディングス,2016/01/28,10:22,買い予想,ﾏﾀﾞﾑさん,15.79,660.0,-74.53,800,中期(数週間～数ヶ月),個人投資家の予想,,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\20.html
スカパーＪＳＡＴホールディングス(9412)の売り予想。 松岡政也 さんの売買予想。 目標株価： 331円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,スカパーJSATホールディングス,2015/12/19,20:36,売り予想,松岡政也さん,-25.38,664.0,+74.94,331,長期(数ヶ月～数年),その他,,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\21.html
